VNINDEX,20200310,813.83,811.21,834.1,825.08,835.99,837.5,806.63,843.28,230832850
VNINDEX,20200309,875.8,835.49,846.8,835.4,834.97,835.49,834.67,891.44,263053320
VNINDEX,20200306,888.96,882.8,887.79,889.26,886.54,891.44,882.71,893.31,167947850
VNINDEX,20200305,892.71,889.82,896.11,890.86,892.48,893.31,889.37,898.43,203361170
VNINDEX,20200304,887.85,885.09,886.75,886.74,888.78,889.37,882.83,890.61,187504950
VNINDEX,20200303,895.39,887.4,895.11,889.93,890.55,890.61,884.43,896.39,170679850
VNINDEX,20200302,878.43,880,883.95,880.73,878.16,884.43,877.31,886.45,167380280
VNINDEX,20200228,885.47,878.46,889.39,875.35,882.13,882.19,872.46,898.44,177524420
VNINDEX,20200227,892.15,897.05,893.82,893.1,895.22,898.44,889.14,899.34,127837480
VNINDEX,20200226,901.51,894.27,899.76,894.77,895.42,895.97,894.25,903.27,124900000
VNINDEX,20200225,893.95,898.35,905.52,909.51,895.35,909.67,893.95,909.67,177111460
VNINDEX,20200224,917.49,903.34,906.77,903.34,903.34,903.34,903.34,917.49,246597810
VNINDEX,20200221,938.13,932.86,937.1,932.96,932.92,933.09,932.32,940.53,170762390
VNINDEX,20200220,933.69,930.12,937.74,930.42,929.12,938.13,928.76,938.13,176812010
VNINDEX,20200219,926.41,925.98,929.03,928.52,927.48,928.76,925.86,931.66,155110900
VNINDEX,20200218,927.93,926.33,927.42,926.46,927.16,927.93,926.01,934.98,154796540
VNINDEX,20200217,938.52,932.06,932.71,931.78,933.43,934.77,931.66,938.52,143700760
VNINDEX,20200214,939.28,936.6,938.59,937.15,936.72,937.45,936.47,940.65,164026980
VNINDEX,20200213,937.19,936.33,936.34,935.02,935.4,938.24,934.47,939.1,148281160
VNINDEX,20200212,940.72,937.32,941.73,937.19,936.63,937.68,934.67,943.11,180704710
VNINDEX,20200211,930.73,932.25,933.62,934.03,933.22,934.67,930.73,936.04,152383070
VNINDEX,20200210,934.38,930.03,927.38,927.13,927.57,930.73,926.61,940.75,124769190
VNINDEX,20200207,938.61,940.17,939.23,936.62,940.32,940.75,935.94,943.48,159078180
VNINDEX,20200206,926.66,931.6,937.26,927.21,925.33,938.54,925.21,938.54,199011870
VNINDEX,20200205,934.75,923.21,923.13,923.84,924.28,925.91,921.89,936.33,158265300
VNINDEX,20200204,929.42,924.84,929.25,924.14,925,929.09,919.33,934.91,171707930
VNINDEX,20200203,916.6,921.9,893.35,924.53,896.19,928.14,891.85,936.62,238589640
VNINDEX,20200131,959.58,936.62,959.47,936.62,936.62,936.62,936.62,960.96,203521680
VNINDEX,20200130,975.15,957.98,988.35,957.24,956.2,959.58,954,991.46,174488050
VNINDEX,20200122,986.52,985.25,991.25,986.77,984.86,991.46,983.92,991.46,124881140
VNINDEX,20200121,978.82,979.37,985.66,980.01,982.53,986.37,978.63,986.37,123872370
VNINDEX,20200120,978.23,977.24,979.85,976.72,977.72,978.63,975.93,979.85,98732080
VNINDEX,20200117,976.28,975.7,974.73,974.15,974.29,978.96,973.79,980.02,114716080
VNINDEX,20200116,967.2,970.62,974.35,968.9,973.1,974.31,967.17,974.7,143788670
VNINDEX,20200115,967.69,966.9,966.67,967.08,966.49,967.56,964.84,967.69,109520090
VNINDEX,20200114,966.26,966.85,968,966.11,966.56,967,965.76,968.85,125449000
VNINDEX,20200113,966.89,965.6,966.15,964.91,964.95,965.84,964.79,968.63,115808100
VNINDEX,20200110,961.17,962.62,960.26,962.87,967.8,968.54,960.15,969.71,160461650
VNINDEX,20200109,953.86,951.61,950.84,954.39,959.93,960.15,948.98,960.73,130690470
VNINDEX,20200108,954.13,948.08,949.68,947.35,946.65,948.98,945.28,958.88,175534190
VNINDEX,20200107,955.79,954.67,955.62,958.6,953.82,958.88,953.19,959.46,126566780
VNINDEX,20200106,962.79,955.75,957.03,955.66,955.64,955.79,955.59,965.14,137059570
VNINDEX,20200103,968.72,965.14,968.1,965.14,965.14,965.14,965.14,970.88,144668880
VNINDEX,20200102,960.26,964.01,961.78,962.6,965.41,966.67,959.67,966.67,128410670
VNINDEX,20191231,965.71,960.95,960.15,958.72,959.1,960.99,958.22,965.71,141842010
VNINDEX,20191230,962.89,963.23,965.76,964.38,964.39,965.03,962.47,967.52,144058140
VNINDEX,20191227,957.7,962.35,954.64,960.49,955.79,963.51,954.19,963.51,122357020
VNINDEX,20191226,960.67,957.93,960.24,958.08,957.53,958.59,957.43,962.11,157140830
